,ref,prd
687,['34_39)'],"['34_39)', '3_21.3.6', '34_41)', '10_4.5.3', '17_Part 12.Chapter 3.143.(1)', '17_Part 12.Chapter 3.144.(1)', '10_3.6.5', '10_2.8.2', '10_3.7.1', '34_46)']"
688,['13_APP10.A10.1.2.(1)'],"['27_11.5.1', '1_4.5.4', '1_12.3.1', '17_Part 2.Chapter 1.5.', '17_Part 2.Chapter 1.8.', '3_20.2.2', '6_PART 5.16.3.5', '14_Part 6.Chapter 5.67.', '17_Schedule 2.6.(2)', '11_APP 8.A8.1.1']"
689,"['21_30)', '1_11.1.1.Guidance.6.']","['1_13.1.1', '1_2.Guidance.2.', '1_2.Guidance.13.', '1_12.3.1', '21_30)', '1_2.Guidance.1.', '1_2.Guidance.14.', '33_111)', '1_4.1.1.(2)', '34_60)']"
690,['12_8.2.1'],"['12_8.2.1', '13_8.2.1', '1_9.3.2.(1)', '12_APP2.A2.15.Guidance.5.', '13_8.1.3.(1)', '14_Part 3.Chapter 3.15.(4)', '24_3.13', '17_Part 17.202.(3)', '12_6.7.2.(2)', '27_2.5.3']"
691,['17_Part 12.Chapter 1.124C.(7)'],"['17_Part 12.Chapter 1.124C.(7)', '17_Part 4.42.(7)', '17_Part 4.42.(8)', '17_Part 12.Chapter 1.124C.(8)', '7_8.8.7.(1)', '17_Part 4.28.(1)', '17_Part 6.Chapter 1.71.(5)', '27_9.5.2', '7_8.8.13.(2)', '27_9.3.5']"
692,"['19_90)', '19_91)']","['19_45)', '19_74)', '3_3.8.12', '19_28)', '39_2.4', '29_5.1', '33_9)', '33_14)', '19_91)', '19_168)']"
693,"['11_9.4.1.(1)', '11_9.4.4.(2)']","['11_9.4.4.(2)', '11_9.4.4.(3)', '28_55)', '28_185)', '11_9.5.4', '12_APP2.A2.6.Guidance.9.', '11_1.2.Guidance.8.', '29_5.2', '28_27)', '13_APP2.A2.5.Guidance.13.']"
694,['30_104)'],"['30_104)', '11_11.12.1', '30_105)', '31_75)', '30_107)', '11_11.12.2', '5_4.1.3', '31_74)', '31_77)', '30_108)']"
695,['21_32)'],"['21_32)', '3_22.3.2', '30_135)', '3_14.7.4', '11_4.15.8', '25_2.', '3_20.14.3.(2)', '3_14.13.4', '39_2.8', '31_94)']"
696,['11_9.2.6'],"['27_6.1.4', '1_6.1.1', '28_35)', '28_168)', '30_56)', '14_Part 5.Chapter 4.35.(5)', '24_3.18', '1_11.2.1.(5)', '1_3.1.1', '14_Part 6.Chapter 6.78.(2)']"
697,['33_42)'],"['17_Part 6.Chapter 2.72.(2)', '10_3.9.1', '11_2.7.3', '11_1.3.2', '28_185)', '11_7.8.1', '37_4.5.d.', '11_3.3.5', '33_14)', '19_10)']"
698,"['17_Part 8.92.(4)', '17_Part 9.103.(1)']","['22_2.1.(1)', '22_2.2.(2)', '22_9.(4)', '28_27)', '17_Part 8.96.(1)', '17_Part 8.92.(4)', '17_Part 8.95.(7)', '22_8', '34_26)', '22_2.2.(14)']"
699,"['1_14.2.3.Guidance.2.', '27_8.1.5']","['1_14.2.3.Guidance.2.', '1_14.6.Guidance', '1_14.3.5.Guidance.2.', '1_14.2.3.Guidance.10.', '1_11.1.1.Guidance.2.', '1_14.2.1', '24_3.11', '1_14.2.3.Guidance.6.', '1_2.Guidance.24.', '1_14.4.1.Guidance.1.']"
700,"['12_5.4.4', '12_5.4.5']","['2_6.10.2', '2_6.10.4', '12_5.4.2', '12_5.4.4', '2_2.3.9.(6)', '2_6.10.5', '2_6.10.3', '12_APP4.A4.12.Guidance.3.', '12_5.4.5', '12_5.4.3']"
701,['33_108)'],"['19_106)', '34_98)', '33_108)', '19_168)', '25_Definitions', '19_131)', '33_37)', '34_68)', '19_128)', '19_45)']"
702,['13_APP2.A2.1.2.Guidance'],"['13_4.14.3', '34_62)', '34_42)', '13_APP11.A11.1.Guidance.11.', '19_84)', '19_45)', '19_102)', '13_APP2.A2.2.3.Guidance.1.', '13_APP4.A4.1.Guidance.59.', '34_41)']"
703,['1_1.3.3.(3)'],"['1_3.1.1', '1_1.3.3.(3)', '1_2.Guidance.5.', '1_12.4.1', '1_1.3.3.(1)', '1_1.3.3.(2)', '27_8.1.5', '1_2.Guidance.3.', '1_12.1.1.(1)', '1_11.2.1.(5)']"
704,['13_1.1.1.(2)'],"['13_1.1.1.(2)', '4_3.2.3', '13_1.1.1.Guidance.2.', '18_3.2', '18_2.4.(e)', '18_3.3', '4_3.20.2.Guidance', '37_3.5', '18_1.2', '3_4.3.3.(b).Guidance.1']"
705,['13_APP6.A6.1.Guidance.11.'],"['13_4.3.3.(5)', '13_APP7.A7.3.4.Guidance.10.', '13_4.4.2.(4)', '13_APP6.A6.1.Guidance.11.', '7_3.3.42.(3).Guidance.3.', '7_3.3.41.(3).Guidance.10.', '12_APP2.A2.6.Guidance.9.', '13_9.2.4.(1)', '13_7.4.1.Guidance.4.', '13_6.11.3']"
706,['19_32)'],"['19_178)', '19_32)', '19_16)', '19_45)', '19_94)', '34_56)', '19_28)', '29_2.3', '19_160)', '19_168)']"
707,['3_9.2.4'],"['3_9.2.4', '3_9.7.1', '3_9.8.6', '3_9.8.7', '3_9.8.1.(a)', '3_9.12.5', '3_9.8.4', '27_9.2', '3_9.5.7.Guidance.1', '3_9.2.3']"
708,['27_11.2.1'],"['27_11.2.1', '27_11.3.1', '17_Part 17.205.(2)', '27_6.4.5', '27_6.4.3', '27_6.4.4', '27_11.5.1', '27_6.4.1', '7_8.13.1', '27_11.1.2']"
709,['13_4.15.13'],"['13_4.15.13', '13_APP4.A4.10.2', '13_4.14.49', '13_4.14.44.(1)', '13_4.14.31', '13_APP4.A4.9.19', '13_APP4.A4.9.13', '13_4.14.23', '13_4.8.6', '13_APP4.A4.1.Guidance.1.']"
710,['34_95)'],"['36_A.3.', '39_3.4', '27_3.2.2', '34_95)', '7_3.3.41.(3).Guidance.3.', '1_7.2.4.Guidance on Restricted Scope Companies.1.', '25_Definitions', '36_C.10.', '33_108)', '34_98)']"
711,['31_63)'],"['31_61)', '31_74)', '31_15)', '11_12.9.1.Guidance', '31_45)', '11_12.2.3.Guidance', '11_12.8.1.Guidance', '31_62)', '11_12.11.1', '31_63)']"
712,['31_1)'],"['21_1)', '34_1)', '28_1)', '31_1)', '30_1)', '18_1.1', '37_1.1', '14_Part 6.Chapter 1.45.(1)', '35_1.1', '39_1.1']"
713,['19_61)'],"['19_61)', '19_48)', '3_17.5', '36_D.4.8.', '12_2.2.2', '19_106)', '19_45)', '2_2.4.1.(2)', '19_94)', '13_7.4.1.Guidance.2.']"
714,['10_4.3.2.Guidance'],"['10_4.3.2.Guidance', '33_58)', '17_Part 12.Chapter 3.146.(5)', '34_92)', '17_Part 12.Chapter 3.148.(1)', '17_Part 12.Chapter 3.146.(1)', '17_Part 13.152.(1)', '17_Part 13.151.(4)', '10_2.5.1.Guidance.12.', '17_Part 13.155.(1)']"
715,"['1_14.3.2', '1_14.3.3']","['1_14.3.2', '1_14.3.3', '1_14.3.1', '28_119)', '1_14.3.5', '3_19.6.2.(3)', '1_14.3.4', '28_120)', '1_14.3.5.Guidance.4.', '1_14.3.5.Guidance.5.']"
716,['19_37)'],"['27_3.1.15', '11_APP 4.13.', '2_2.4.1.(2)', '36_D.1.4.', '13_4.3.3.(2)', '13_6.6.1.Guidance.2.', '36_D.3.1.', '12_2.2.2', '36_C.16.', '13_4.3.3.Guidance.5.']"
717,['13_4.12.20'],"['13_4.12.20', '31_96)', '10_8.4.4', '11_7.5.1.Guidance', '30_137)', '9_5.4.7.(d)', '13_4.8.3', '13_4.13.5.(1)', '1_4.5.7.Guidance', '14_Part 1.1.']"
718,['27_3.2.16'],"['16_Part 4.9.(3)', '17_Part 19.Chapter 1.226.(6)', '14_Part 5.Chapter 2.27.(8)', '7_7.2.6.Guidance', '27_3.2.18', '14_Part 6.Chapter 6.78.(4)', '27_3.2.16', '10_2.12.2.Guidance.4.', '14_Part 1.2.', '27_9.8.5']"
719,"['1_8.3.2.Guidance on CDD.9.', '1_2.Guidance.8.', '1_6.2.1.Guidance.2.']","['1_2.Guidance.8.', '1_5.1.1', '1_2.Guidance.3.', '34_62)', '1_7.Guidance.2.', '1_3.1.1', '6_PART 5.17.1.2', '19_45)', '1_2.Guidance.1.', '1_1.2.1.(1)']"
720,['34_81)'],"['34_81)', '34_80)', '34_20)', '34_82)', '33_105)', '22_1.(6)', '7_9.1.1.Guidance.5.', '11_6.1.1.(1)', '19_99)', '34_9)']"
721,['13_9.2.2.(2)'],"['13_9.2.2.(2)', '36_C.16.', '13_9.2.2.Guidance', '7_3.3.42.(1)', '13_9.2.2.(3)', '13_9.2.1.Guidance.2.', '13_7.4.1.Guidance.2.', '36_D.3.3.', '27_2.5.11', '7_3.3.2.(1)']"
722,"['34_61)', '34_65)']","['34_26)', '34_66)', '34_65)', '34_30)', '34_38)', '34_64)', '34_12)', '34_42)', '22_2.2.(8)', '34_40)']"
723,['31_19)'],"['31_94)', '19_43)', '33_111)', '31_19)', '31_18)', '31_17)', '31_27)', '31_93)', '34_60)', '10_2.8.10.Guidance']"
724,['5_3.1.3'],"['32_2.3', '5_3.1.3', '32_3.1', '32_2.4', '6_PART 5.14.1.Guidance.3', '32_4.1', '6_PART 4.9.7.Guidance.3', '19_85)', '3_3.2.5', '32_1.4']"
725,['3_6.12.1'],"['19_159)', '3_6.12.3', '19_153)', '3_6.12.1', '3_15.7.2', '3_16.3.1', '19_139)', '19_150)', '3_15.4.5', '3_15.9.1']"
726,['7_9.10.1'],"['7_9.3.3.Guidance', '7_9.3.1', '7_9.5.1.(1).Guidance.3.', '7_9.8.3.Guidance.2.', '3_20.14.2.Guidance.2.', '7_9.15.2', '3_19.23.2.Guidance.2.', '7_9.15.3', '7_9.11.2.(3)', '17_Schedule 1.Part 2.Chapter 14.67.(5)']"
727,"['1_14.2.3.Guidance.2.', '10_2.9.1', '1_6.1.3.Guidance.4.']","['1_14.2.3.Guidance.2.', '1_14.4.1.Guidance.1.', '1_14.3.5.Guidance.2.', '1_14.2.3.Guidance.10.', '1_14.2.1', '1_13.1.1', '1_14.6.Guidance', '1_14.2.3.Guidance.6.', '1_11.1.1.Guidance.2.', '19_41)']"
728,"['19_70)', '19_71)']","['27_2.5.8', '19_45)', '7_3.3.2.(3).Guidance.3.', '19_81)', '10_4.7.3', '19_66)', '3_17.5', '11_APP 7.A7.2', '14_Schedule.Part 1', '19_50)']"
729,"['1_8.3.6.Guidance on FATF Jurisdictions Under Increased Monitoring / Subject to a Call for Action.1.', '1_8.4.1.Guidance.11.']","['1_7.Guidance.2.', '19_41)', '13_6.5.Guidance.3.', '1_8.5.1.(1)', '1_8.6.1', '1_8.4.1.Guidance.11.', '1_4.5.1.Guidance', '1_8.6.2.Guidance.5.', '1_8.3.6.Guidance on FATF Jurisdictions Under Increased Monitoring / Subject to a Call for Action.1.', '19_45)']"
730,['19_135)'],"['19_135)', '19_138)', '19_137)', '19_131)', '19_136)', '19_169)', '34_76)', '10_3.9.1', '3_8.2.1', '19_133)']"
731,['14_Part 6.Chapter 4.66.(1)'],"['14_Part 6.Chapter 4.66.(1)', '14_Part 6.Chapter 2.52.(2)', '14_Part 6.Chapter 2.56.(4)', '14_Part 6.Chapter 2.52.(1)', '14_Part 6.Chapter 2.56.(3)', '14_Part 6.Chapter 2.57.(1)', '27_9.2', '17_Part 11.Chapter 4.116.(1)', '14_Part 6.Chapter 4.65.(1)', '14_Part 6.Chapter 2.52.(3)']"
732,['9_5.4.7.(d).Guidance.(vii)'],"['9_5.4.7.(d).Guidance.(vii)', '9_5.4.7.(d).Guidance.(viii)', '9_5.4.7.(d).Guidance.(iii)', '9_5.4.7.(d).Guidance.(xiii)', '13_4.9.3.Guidance.2.', '13_3.21.6.Guidance.1.', '9_5.4.7.(d).Guidance.(vi)', '13_1.2.1', '9_5.4.7.(d)', '9_5.4.14.Guidance.(i)']"
733,"['36_D.7.1.', '36_D.7.']","['36_D.7.1.', '36_D.7.7.', '36_D.4.3.', '36_D.7.6.', '36_D.7.', '36_D.7.5.', '36_D.1.4.', '36_D.7.4.', '36_D.4.6.', '36_D.5.3.']"
734,['2_2.3.7.(3)'],"['2_2.3.2.(3)', '12_6.5.3', '12_6.6.2', '2_2.3.3.(3)', '2_2.3.4.(3)', '12_6.6.4', '2_2.3.7.(4)', '2_2.3.7.(2)', '12_APP10.A10.4.2', '2_2.3.10.(2)']"
735,['37_4.4'],"['37_4.2', '37_2.6', '33_40)', '37_4.5.c.', '37_4.5.b.', '37_3.14', '33_108)', '33_99)', '33_98)', '19_45)']"
736,['19_37)'],"['24_3.18', '34_66)', '19_3)', '19_28)', '33_62)', '19_38)', '19_104)', '19_124)', '19_94)', '19_113)']"
737,['14_Part 3.Chapter 1.8.(4)'],"['14_Part 3.Chapter 1.8.(4)', '14_Part 3.Chapter 2.11.(5)', '14_Part 5.Chapter 1.22.(4)', '37_4.13.a.', '14_Part 3.Chapter 1.8.(2)', '14_Part 3.Chapter 1.8.(1)', '14_Part 3.Chapter 1.7.(5)', '5_9.3', '14_Part 5.Chapter 1.23.', '14_Part 3.Chapter 1.8.(3)']"
738,['1_14.3.5.Guidance.1.'],"['1_2.Guidance.17.', '1_14.3.5.Guidance.1.', '1_2.Guidance.18.', '1_2.Guidance.1.', '17_Part 16.199.(1)', '23_3.3.2', '23_3.3.5', '1_2.Guidance.26.', '1_3.2.1', '17_Part 2.Chapter 4.15A.(1)']"
739,['7_3.3.31.(1)'],"['1_6.2.1', '13_6.6.1.Guidance.2.', '7_8.10.6', '7_3.3.4', '7_3.3.37', '27_5.3.1', '13_9.2.2.Guidance', '27_3.2.15', '11_APP 4.48.', '12_APP2.A2.3.Guidance.9.']"
740,['6_PART 2.4.1.6.(1) Venture Capital Fund. A Fund is a Venture Capital Fund if it:'],"['18_3.1', '28_143)', '6_PART 2.4.1.6.(1) Venture Capital Fund. A Fund is a Venture Capital Fund if it:', '18_2.4.(d)', '18_2.4.(b)', '27_5.10', '11_6.2.17.(4)', '5_2.1.2', '5_6.3.2', '6_PART 5.16.4.7']"
741,['13_APP6.A6.8.8.(1)'],"['13_APP6.A6.8.8.(1)', '13_APP6.A6.8.3.(1)', '13_APP6.A6.8.6', '13_5.10.4', '13_APP6.A6.8.2.Guidance.1.', '13_APP6.A6.8.7', '13_APP6.A6.8.4', '13_APP6.A6.8.1.(2)', '13_5.10.3.(2)', '13_APP6.A6.8.14']"
742,['33_35)'],"['33_39)', '17_Part 6.Chapter 2.83.(2)', '11_1.2.Guidance.4.', '17_Part 6.Chapter 2.83.(1)', '11_1.1.1.(2)', '29_5.2', '11_5.2.8', '11_5.2.6', '19_11)', '11_5.2.7']"
743,['1_8.3.2.Guidance on CDD.8.'],"['1_8.3.2.Guidance on CDD.8.', '1_4.5.1.Guidance', '1_8.3.2.Guidance on CDD.9.', '1_9.3.1B.Guidance.3.', '1_9.3.1B.Guidance.2.', '1_8.3.6.Guidance on verification of the identity of Beneficial Owners.3.', '1_9.3.1B.Guidance.1.', '7_3.3.40.Guidance_1', '21_41)', '21_32)']"
744,"['36_D.4.', '36_D.5.']","['36_D.5.5.', '36_D.4.10.', '36_D.4.11.', '36_D.4.3.', '36_D.2.3.', '36_D.7.', '36_D.7.1.', '36_D.6.3.', '36_D.5.2.', '36_D.4.8.']"
745,"['11_APP 4.59.', '12_2.2.1']","['11_APP 4.59.', '28_14)', '17_Schedule 2.24.', '25_1.', '10_3.7.4.Guidance.2.', '28_27)', '3_23.3', '27_3.5.1', '7_6.6.1', '27_3.2.19']"
746,['14_Part 5.Chapter 2.27.(7)'],"['14_Part 6.Chapter 5.68.(2)', '12_5.6.7.Guidance.2.', '14_Part 6.Chapter 5.68.(3)', '14_Part 6.Chapter 5.68.', '14_Part 5.Chapter 1.23.(4)', '6_APP 4.Guidance.Property_Fund_Valuation_function.Valuation_function.37', '12_APP10.A10.2.Guidance', '11_11.6.1', '14_Part 6.Chapter 5.68.(6)', '13_3.21.1.Guidance.2.']"
747,['34_35)'],"['34_35)', '34_26)', '34_25)', '34_27)', '34_81)', '34_73)', '34_82)', '19_166).e)', '34_101)', '33_81)']"
748,['1_9.1.2.(1)'],"['1_9.1.2.(1)', '1_9.1.2.Guidance.5.', '1_4.2.1.(2)', '1_9.1.1.(4)', '1_9.1.1.(3)', '1_6.1.2', '1_12.4.1', '1_7.1.3.(1)', '1_9.3.2.(1)', '1_5.1.1.Guidance.1.']"
749,['10_4.10.4'],"['10_4.10.4', '14_Part 6.Chapter 5.71.(2)', '14_Part 6.Chapter 3.61.(2)', '10_4.9.2.Guidance.2.', '10_4.5.4', '14_Part 6.Chapter 1.45.(2)', '14_Schedule.Part 4', '13_APP4.A4.1.Guidance.60.', '10_4.7.18', '10_4.12.2']"
750,['1_8.1.2.(2)'],"['1_8.5.1.(1)', '1_8.3.1.(1)', '1_7.1.3.Guidance on high-risk customers .2.', '28_71)', '30_77)', '6_APP 3', '1_8.1.2.(2)', '1_8.2.1.(5)', '1_3.2.1', '1_7.1.1.(3)']"
751,['19_89)'],"['19_89)', '19_74)', '19_91)', '19_88)', '19_69)', '19_90)', '19_132)', '19_92)', '19_110)', '19_160)']"
752,['13_5.Introduction.Guidance.2.'],"['15_Part 4.8.(1)', '16_Part 4.8.(1)', '13_APP6.A6.3.3.(2)', '12_APP9.A9.1.1.Guidance.1.', '9_5.4.7.(d).Guidance.(v)', '12_APP9.A9.2.1', '13_APP3.A3.2.Guidance.1.', '13_5.Introduction.Guidance.2.', '13_3.10.1', '13_3.12.1']"
753,['3_14.6.1'],"['3_14.13.5', '3_14.5.2', '3_14.7.7.Guidance.1', '3_6.12.3', '3_14.13.6.Guidance.2.', '3_15.11.1', '3_14.9.1', '10_4.12.2', '3_14.6.1', '3_14.13.6']"
754,['27_4.3.3'],"['27_4.3.3', '20_2.1.', '19_112)', '27_4.3.5', '26_8.5', '26_6.6', '28_20)', '24_3.7', '37_1.3', '20_2.3.(iv)']"
755,['28_42)'],"['28_42)', '30_92)', '28_117)', '28_185)', '30_101)', '28_41)', '28_148)', '28_33)', '28_150)', '28_28)']"
756,['27_11.6.1'],"['40_2.', '33_111)', '19_43)', '19_45)', '16_Part 2.5.(1)', '40_3.', '16_Part 1.1.(1)', '27_11.6.1', '40_1.', '34_60)']"
757,['14_Part 6.Chapter 2.55.(6)'],"['14_Part 6.Chapter 2.55.(8)', '14_Part 6.Chapter 2.55.(14)', '14_Part 6.Chapter 2.55.(9)', '14_Part 6.Chapter 2.55.(11)', '14_Part 6.Chapter 2.55.(2)', '14_Part 6.Chapter 2.55.(13)', '14_Part 6.Chapter 2.55.(10)', '14_Part 6.Chapter 2.55.(6)', '14_Part 6.Chapter 2.55.(1)', '14_Part 6.Chapter 2.55.(12)']"
758,['31_10)'],"['31_11)', '31_10)', '31_14)', '11_12.2.2', '11_11.2.2', '31_12)', '31_4)', '31_15)', '30_11)', '31_13)']"
759,"['3_20.5.2.Guidance.1.', '19_87)']","['19_118)', '3_20.5.2.Guidance.1.', '19_113)', '19_87)', '19_114)', '13_APP7.A7.1.1.Guidance.3.', '3_20.5.2.Guidance.2.', '1_14.2.3.Guidance.1.', '11_9.3.8.Guidance.2.', '6_PART 5.13.2.1.Guidance.3']"
760,['33_104)'],"['33_104)', '11_4.3.4', '7_9.3.4.Guidance', '9_1.1.1.Guidance.(i)', '33_12)', '29_3.7', '37_1.2', '27_5.5.3', '19_2)', '27_2.5.1']"
761,['13_10.Introduction.Guidance.1.'],"['34_95)', '34_11)', '27_4.4.3', '34_67)', '34_8)', '34_96)', '34_97)', '34_26)', '34_62)', '34_81)']"
762,['19_66)'],"['19_71)', '13_3.Guidance.3.', '19_70)', '19_57)', '13_2.Introduction', '19_115)', '6_PART 5.17.1.5.(4)', '3_2.6.4.Guidance.2', '13_6.2.1.(3)', '13_5.2.1.(3)']"
763,"['33_51)', '33_18)', '33_113)']","['33_69)', '28_2)', '17_Part 6.56.(1)', '33_119)', '33_36)', '33_70)', '33_40)', '31_96)', '11_2.6.6', '30_137)']"
764,"['2_1.2.2', '2_6.9.3', '12_APP2.A2.5.Guidance.7.']","['2_6.9.3', '12_9.1.2.Guidance.1.', '2_2.2.5', '2_6.9.10', '2_6.9.4', '2_10.4', '12_APP9.A9.1.1.Guidance.1.', '7_9.1.1.Guidance.1.', '2_4.3', '23_1.2.2']"
765,['31_68)'],"['31_68)', '30_51)', '30_78)', '30_77)', '11_11.9.2', '11_11.6.1', '31_66)', '11_11.8.3', '31_67)', '11_12.12.1']"
766,['36_D.4.7.'],"['36_D.6.3.', '36_D.4.1.', '36_D.7.2.', '36_D.4.2.', '36_D.1.3.', '36_D.5.5.', '36_D.3.5.', '36_D.3.1.', '36_D.5.2.', '36_D.4.']"
767,"['21_31)', '33_114)']","['21_31)', '29_3.12', '25_2.', '20_3.4.', '25_1.', '12_APP10.A10.2.Guidance', '7_3.3.42.(3).Guidance.3.', '22_1.(14)', '12_APP4.A4.4.1', '12_APP10.A10.1.2']"
768,['31_73)'],"['31_73)', '31_65)', '11_12.11.1', '31_72)', '31_64)', '11_12.9.1', '31_12)', '13_9.1.1.Guidance.1.', '11_12.2.4', '4_2.2.Guidance']"
769,['9_5.1.1.Guidance.(ii)'],"['27_6.1.4', '10_2.12.2.Guidance.2.', '1_11.2.1.(5)', '1_3.1.1', '27_6.7.3', '24_3.18', '11_11.2.2.Guidance', '11_12.2.2.Guidance', '13_APP6.A6.9.1.Guidance.1.', '13_5.Introduction.Guidance.2.']"
770,['11_APP 4.61.'],"['11_APP 4.61.', '7_6.6.1', '28_164)', '11_10.1.3A.(1)', '7_6.6.8', '11_APP 4.12.', '11_10.2.6', '28_159)', '17_Part 6.Chapter 2.80.(2)', '7_6.6.3.(1)']"
771,['13_4.13.12.Guidance.3.'],"['13_4.13.12.Guidance.3.', '13_4.13.12', '13_4.13.9.(2)', '13_4.13.13.(1)', '10_5.2.2', '13_APP2.A2.5.Guidance.8.', '13_4.5.2', '2_6.8.2', '6_APP 4.Guidance.Retirement_of_valuer.42', '13_APP4.A4.10.2']"
772,['19_166).a)'],"['19_166).a)', '19_166).b)', '19_166).d)', '33_14)', '19_10)', '19_166).c)', '29_5.1', '19_165)', '19_166).e)', '19_140)']"
773,['38_3.2'],"['1_3.1.1', '27_8.1.5', '19_45)', '27_6.1.4', '24_3.18', '19_43)', '10_2.12.2.Guidance.2.', '1_11.2.1.(5)', '17_Part 2.Chapter 4.15A.(2)', '33_111)']"
774,"['29_4.5', '34_17)']","['34_17)', '34_114)', '34_27)', '34_18)', '34_24)', '34_21)', '34_78)', '34_16)', '19_174)', '34_89)']"
775,['33_58)'],"['33_58)', '33_60)', '33_57)', '33_55)', '33_50)', '33_44)', '33_61)', '33_133)', '34_92)', '33_59)']"
776,['13_APP4.A4.12.19'],"['13_APP4.A4.12.19', '36_D.4.5.', '31_27)', '30_26)', '1_14.2.3.Guidance.3.', '27_9.2', '13_3.1.1.Guidance.1.', '30_45)', '30_27)', '13_3.12.4']"
777,['33_114)'],"['33_114)', '21_31)', '37_4.3', '23_1.2.2', '3_9.10.1', '33_37)', '40_4.', '19_169)', '19_164)', '3_20.5.2.Guidance.2.']"
778,"['27_2.5.9', '33_120)']","['34_107)', '33_125)', '19_176)', '19_177)', '34_108)', '33_126)', '34_102)', '33_120)', '19_171)', '19_173)']"
779,['1_6.2.1'],"['1_9.3.2.(1)', '1_4.1.1.(2)', '1_9.1.1.(3)', '1_9.1.1.(4)', '1_7.2.4.Guidance on Restricted Scope Companies.3.', '1_15.2.1.(1)', '27_2.5.11', '19_45)', '1_4.2.1.(2)', '1_2.Guidance.1.']"
780,['28_177)'],"['28_177)', '28_180)', '28_185)', '28_183)', '28_176)', '28_93)', '28_182)', '28_148)', '28_191)', '28_103)']"
781,"['7_5.5.1.Guidance.4.', '7_5.6.14', '7_5.6.14.Guidance']","['27_2.5.11', '7_5.6.14', '7_5.5.1.Guidance.4.', '10_2.3.2', '7_5.5.1.(1)', '7_5.3.8', '38_2.2', '27_2.3.3', '7_3.3.2.(3).Guidance.3.', '7_5.3.2']"
782,['13_APP10.A10.1.1.Guidance.1.'],"['13_APP10.A10.1.1.Guidance.1.', '13_APP10.A10.1.2.(1)', '13_APP10.A10.1.2.(2)', '13_9.2.6', '13_9.3.2.Guidance', '13_APP10.A10.1.1.(2)', '13_APP10.A10.1.1.(3)', '13_9.2.2.(2)', '13_9.3.2.(3)', '13_9.2.1.Guidance.2.']"
783,['19_16)'],"['19_100)', '19_16)', '19_20)', '19_19)', '19_104)', '19_45)', '19_10)', '33_14)', '19_99)', '24_3.16']"
784,['1_4.3.1'],"['1_4.3.1', '1_6.1.3.Guidance.1.', '1_2.Guidance.24.', '1_5.1.1.Guidance.2.', '1_6.1.1', '1_6.1.3', '1_6.1.3.Guidance.2.', '17_Part 17.202.(3)', '1_6.2.1', '1_5.1.1']"
785,['34_23)'],"['34_82)', '34_21)', '34_23)', '34_81)', '34_15)', '34_26)', '3_22.2.3', '17_Part 8.95.(4)', '34_14)', '34_67)']"
786,['13_6.Introduction.Guidance.2.'],"['10_4.7.3', '13_APP11.A11.1.Guidance.7.', '26_5.1', '11_APP 4.45.', '13_6.2.2.Governing Body responsibilities.2.', '36_D.4.7.', '34_98)', '19_106)', '12_APP9.A9.3.Guidance', '13_4.3.3.(2)']"
787,['5_3.1.3'],"['5_6.3.2', '5_5.1.4', '27_7.4.2', '27_7.5.2', '31_96)', '5_3.1.3', '5_1.2.2.Guidance', '39_2.7', '2_3.1.4.(3)', '6_PART 5.13A.1.1.Guidance.2']"
788,['13_APP3.A3.2.Guidance.6.'],"['13_APP3.A3.2.Guidance.6.', '13_3.20.2', '13_3.1.1.Guidance.1.', '13_3.16.3', '13_3.19.10.Guidance', '13_APP3.A3.2.Guidance.1.', '13_10.2.Guidance.3.', '13_3.2.4.Guidance.Guidance', '13_3.19.6.(2)', '13_3.20.1.Guidance.1.']"
789,"['27_6.7.1', '27_7.1.2', '27_7.4.2']","['7_8.10.8', '27_7.15.7', '13_APP11.A11.3.Guidance.4.', '24_3.1', '27_6.2.3', '20_4.1.', '14_Schedule.Part 4', '17_Part 2.Chapter 1.8.', '17_Part 8.96.(2)', '13_7.4.1.Guidance.3.']"
790,['3_5.13.3'],"['3_5.13.3', '3_5.13.1', '3_5.13.5', '3_5.13.4', '3_5.12.1', '7_8.7.4', '3_5.2.1', '3_5.12.2', '7_5.5.3', '3_5.3.3']"
791,['28_99)'],"['28_99)', '28_106)', '28_105)', '28_103)', '28_102)', '28_107)', '28_104)', '11_7.5.1.(1)', '28_98)', '28_100)']"
792,['1_6.2.1.Guidance.2.'],"['1_6.2.1.Guidance.2.', '1_6.1.3.Guidance.7.', '1_6.1.3.Guidance.6.', '1_8.3.2.Guidance on CDD.9.', '1_8.3.2.Guidance on CDD.8.', '1_9.3.1B.Guidance.2.', '34_62)', '19_45)', '1_9.3.1B.Guidance.3.', '19_169)']"
793,['1_11.1.1.Guidance.5.'],"['1_11.1.1.Guidance.5.', '1_11.2.1.(4)', '1_2.Guidance.2.', '15_Part 1.1.(1)', '16_Part 1.1.(1)', '19_43)', '28_185)', '28_188)', '40_2.', '33_111)']"
794,['1_4.3.1'],"['1_4.3.1', '1_6.1.3.Guidance.6.', '1_8.3.6.Guidance on FATF Jurisdictions Under Increased Monitoring / Subject to a Call for Action.1.', '1_7.1.3.Guidance on the customer risk assessment.2.', '1_8.1.2.Guidance.2.', '1_7.Guidance.3.', '1_10.2.1', '1_7.Guidance.2.', '1_8.1.2.Guidance.1.', '1_8.4.1.Guidance.11.']"
