,ref,prd
564,"['27_2.3.3', '27_2.5.11']","['27_2.5.11', '1_12.1.6.Guidance.2.', '1_12.1.4', '1_12.1.7.Guidance', '1_12.1.5', '1_12.1.1.(1)', '1_12.1.2', '1_12.1.3.Guidance.1.', '1_12.1.7', '19_111)']"
565,['13_4.8.3'],"['13_4.9.1', '13_APP4.A4.3.23', '13_4.9', '13_4.8.3', '13_APP4.A4.1.Guidance.29.', '13_APP2.A2.5.Guidance.1.', '13_4.8.4', '11_9.3.1.Guidance.1.', '13_2.4.Guidance.4.', '11_9.3.1.Guidance.2.']"
566,['7_8.7.3'],"['7_8.7.3', '9_7.3.1', '7_8.1.5.(1)', '7_8.7.4', '7_8.1.5.(2)', '3_3.3.3.Guidance.3', '17_Part 15.194.(2)', '7_5.3.10', '13_4.14.45.Guidance', '11_5.1.12']"
567,"['34_60)', '34_61)']","['1_11.2.1.Guidance.11.', '34_11)', '3_22.', '34_19)', '34_109)', '34_66)', '34_17)', '34_8)', '34_26)', '13_APP4.A4.9.1']"
568,['13_4.9.2'],"['13_4.9.2', '11_10.1.2.(2)', '13_4.9.1', '11_10.2.7', '13_4.8.4', '11_10.1.5', '13_4.14.24', '13_4.14.69', '13_4.9.11', '13_3.21.5']"
569,['13_8.3.4.(1)'],"['13_8.3.4.(1)', '12_8.3.5.(1)', '13_8.3.3.(1)', '31_64)', '13_APP6.A6.3.19.Guidance', '13_APP6.A6.7.3.Guidance', '13_APP6.A6.6.Guidance', '13_APP6.A6.3.Guidance', '31_35)', '31_72)']"
570,['1_10.3.2.Guidance.1.'],"['1_10.3.2.(1)', '1_10.3.2.(2)', '1_2.Guidance.10.', '1_10.', '1_10.3.2.Guidance.4.', '1_10.3.2.(3)', '1_10.3.2.Guidance.2.', '3_20.9.3', '1_10.3.1', '1_8.8.1.(1)']"
571,['18_3.2'],"['18_3.2', '18_1.2', '18_2.4.(e)', '27_5.5.3', '17_Part 4.32.(1)', '37_3.2', '27_2.5.1', '17_Part 4.33.(2)', '17_Part 4.30.(2)', '17_Part 4.42.(4)']"
572,['29_4.7'],"['29_4.3', '19_140)', '19_125)', '19_168)', '19_128)', '33_13)', '34_67)', '19_16)', '19_179)', '19_106)']"
573,['11_APP 4.50.'],"['11_APP 4.50.', '11_9.2.7', '11_APP 4.59.', '28_116)', '27_1.4.1', '11_9.7.6.Guidance', '28_28)', '11_9.7.6', '28_119)', '11_2.8.5']"
574,['12_5.3.1.Guidance'],"['12_5.3.1.Guidance', '12_5.3.1', '12_5.3.2', '2_6.4.2', '9_1.2.Guidance.(ii)', '12_5.1.2', '12_2.2.4.Guidance.1.', '3_7.1', '2_6.3.1', '6_PART 2.3.3.5.(1)']"
575,['28_49)'],"['28_140)', '28_56)', '28_55)', '28_49)', '28_50)', '28_58)', '28_184)', '28_185)', '28_60)', '28_63)']"
576,"['1_2.Guidance.27.', '1_2.Guidance.29.']","['1_2.Guidance.27.', '1_11.2.1.Guidance.6.', '1_4.4.1', '1_11.1.1.Guidance.3.', '3_3.8.23', '1_2.Guidance.11.', '28_174)', '6_PART 2.4.1.9.Guidance.2', '1_4.2.1.(1)', '30_137)']"
577,['33_74)'],"['33_74)', '33_12)', '33_66)', '33_92)', '33_62)', '33_91)', '19_146)', '24_1.1', '33_64)', '33_70)']"
578,"['1_4.3.1', '21_32)']","['1_4.3.1', '3_5.13.3', '3_5.13.1', '1_11.2.1.Guidance.2.', '3_5.13.5', '3_5.1.1', '3_5.10', '3_5.12.1', '3_5.6.1', '3_19.16.1.(3)']"
579,['1_7.Guidance.4.'],"['1_7.Guidance.4.', '1_7.Guidance.1.', '1_7.Guidance.2.', '1_4.5.1.Guidance', '1_8.1.2.Guidance.2.', '1_7.1.3.Guidance on the customer risk assessment.2.', '1_14.4.1.Guidance.2.', '1_8.6.1', '1_8.1.1.(4)', '1_7.Guidance.3.']"
580,"['12_2.2.2', '13_9.2.2.Guidance']","['12_2.2.4.Guidance.2.', '12_2.2.2', '13_APP6.A6.1.Guidance.12.', '12_APP9.A9.3.Guidance', '12_APP9.A9.4.Guidance', '36_D.1.2.', '12_APP9.A9.4', '12_APP9.A9.3', '12_APP9.A9.2', '12_APP9.A9.5']"
581,['18_3.2'],"['14_Part 5.Chapter 1.22.(5)', '10_8.2.1', '6_PART 2.4.1.8', '14_Part 5.Chapter 1.23.(3)', '6_PART 2.4.1.9', '27_3.2.8', '6_PART 5.17.1.2', '27_3.2.9', '6_PART 2.4.1.9.Guidance.2', '11_6.2.17.(4)']"
582,['30_2)'],"['30_2)', '31_2)', '30_4)', '30_3)', '30_14)', '30_140)', '30_9)', '31_4)', '31_3)', '30_7)']"
583,['19_54)'],"['19_54)', '19_55)', '21_60)', '19_51)', '19_48)', '27_9.2', '10_2.8.10.Guidance', '19_56)', '30_27)', '1_10.3.2.Guidance.1.']"
584,['13_3.18.7'],"['13_3.18.7', '13_3.18.6', '13_3.18.4', '13_3.18.8.Guidance', '13_3.18.9', '13_3.18.8.(3)', '13_3.18.8.(2)', '13_3.18.8.(1)', '13_3.19.1', '13_3.18.8']"
585,['1_6.1.2'],"['1_6.1.2', '1_4.1.1.(3)', '1_4.1.1.(4)', '1_4.1.1.(1)', '1_1.3.1', '1_8.2.2.(1)', '1_6.2.1', '1_4.1.1.(2)', '1_6.1.3.Guidance.7.', '1_15.2.1.(1)']"
586,['11_APP 4.50.'],"['11_9.2.7', '11_9.3.7', '11_APP 4.50.', '11_APP 4.58.', '11_2.3.6.(3)', '11_APP 4.16.', '11_2.7.1.(2)', '37_4.5.d.', '27_9.2', '11_9.3.6.(1)']"
587,['17_Part 7.88.(1)'],"['17_Part 7.88.(1)', '13_APP4.A4.10.1.Guidance.1.', '12_5.6.6', '3_7.6.1', '23_4.4.1', '14_Part 6.Chapter 6.78.(2)', '12_3.6.1.(1)', '12_3.6.1.(3)', '40_SECTION VIII.C.8.', '14_Part 6.Chapter 2.56.(4)']"
588,['7_5.5.1.(2)'],"['7_5.5.1.(2)', '7_5.5.1.(1)', '13_9.3.6.(2)', '6_PART 2.4.1.6.(2)', '13_3.10.16.(2)', '1_8.6.1', '13_3.11.3.(2)', '6_PART 5.12.2.3', '13_3.12.8.(2)', '13_3.11.8.(2)']"
589,['5_3.2.3'],"['6_PART 5.12.11.1.(1)', '5_2.1.3', '5_6.4.2', '4_8.1.1', '6_PART 5.16.4.2.(2)', '6_PART 5.13.4.7.(2)', '6_PART 8.20.3.11', '6_PART 8.20.4.1', '9_6.1.3.(a)', '17_Part 11.Chapter 2.107.(3)']"
590,['14_Part 6.Chapter 1.46.(1)'],"['14_Part 6.Chapter 1.46.(1)', '14_Part 6.Chapter 1.43.', '14_Part 6.Chapter 1.45.(5)', '14_Part 6.Chapter 1.42.(6)', '14_Part 6.Chapter 1.44.', '14_Part 6.Chapter 1.42.(1)', '14_Part 6.Chapter 1.42.(5)', '14_Part 6.Chapter 1.45.(3)', '14_Part 5.Chapter 1.26.(4)', '14_Part 6.Chapter 1.45.(2)']"
591,['40_7.B.1.'],"['40_7.B.1.', '40_SECTION IV.C.', '40_SECTION IV.A.', '40_SECTION IX.B.1.', '40_SECTION VII.A.', '40_SECTION VI.A.1.', '40_SECTION IV.B.', '40_SECTION V.D.3.', '40_SECTION IX.A.2.', '40_6.']"
592,"['13_6.4.1', '13_APP11.A11.1.Guidance.11.']","['13_APP11.A11.3.Guidance.12.', '13_APP11.A11.1.Guidance.11.', '36_D.4.2.', '13_10.2.Guidance.2.', '13_APP11.A11.1.Guidance.12.', '13_APP11.A11.3.Guidance.5.', '13_APP11.A11.3.Guidance.3.', '13_10.2.Guidance.5.', '13_10.3.2.(5)', '36_D.4.9.']"
593,['3_6.8.1.(c)'],"['3_6.8.1.(c)', '3_6.8.1.(c).Guidance.2', '3_6.8.1.(a)', '3_6.8.1.(b)', '3_6.8.1.(c).Guidance.1', '3_6.8.2.(d)', '1_4.5.3', '3_6.8.1', '7_8.8.13.(1)', '9_6.2.6.(b)']"
594,['6_PART 5.16.3.4.Guidance.1'],"['11_5.2.8', '6_PART 5.16.3.5', '11_10.2.6', '7_6.5.1', '27_9.2', '9_6.2.6.(a)', '9_3.5.7', '11_5.1.9', '6_PART 5.13.3.17', '27_3.2.20']"
595,['19_2)'],"['27_7.1.2', '27_8.2.2', '27_8.1.1', '27_7.8.1', '10_4.5.7', '27_7.4.2', '27_6.7.2', '27_8.3.2', '27_7.15.1', '27_6.5.7']"
596,['30_3)'],"['30_3)', '30_4)', '30_14)', '30_2)', '30_9)', '30_140)', '31_2)', '30_139)', '30_132)', '30_141)']"
597,['9_5.4.2'],"['9_5.4.2', '9_3.9.1', '9_5.1.1.Guidance.(ii)', '9_5.4.14.Guidance.(i)', '9_5.4.6.(a)', '9_5.4.7.(d).Guidance.(i)', '12_8.3.5.Guidance.2.', '6_PART 5.12.1.1.Guidance.2', '9_5.4.8', '27_9.2']"
598,['13_APP6.A6.1.Guidance.4.'],"['13_APP10.A10.2.15.Guidance.10.', '13_APP6.A6.1.Guidance.6.', '13_APP6.A6.1.Guidance.10.', '13_APP6.A6.1.Guidance.18.', '18_2.4.(a)', '13_APP2.A2.1.11.(1)', '13_APP6.A6.1.Guidance.11.', '13_APP6.A6.7.8', '13_APP6.A6.1.Guidance.4.', '13_APP4.A4.6.Guidance.1.']"
599,['13_3.7.2.(1)'],"['13_3.7.2.(1)', '13_3.7.3.(2)', '1_8.4.1.Guidance.7.', '13_3.7.3.(3)', '13_3.7.3.(1)', '37_3.5', '13_3.7.3.(4)', '12_6.5.1', '6_PART 5.12.13.1', '10_4.2.2']"
600,['30_132)'],"['11_1.2.Guidance.10.', '31_18)', '31_17)', '31_16)', '30_15)', '30_16)', '30_17)', '31_19)', '30_18)', '31_27)']"
601,['33_126)'],"['19_177)', '34_108)', '33_126)', '34_107)', '33_125)', '19_176)', '33_120)', '34_102)', '19_171)', '33_127)']"
602,['3_17.1.4'],"['19_23)', '19_151)', '19_149)', '1_2.Guidance.25.', '19_17)', '19_104)', '19_130)', '33_9)', '19_153)', '19_31)']"
603,"['19_79)', '19_80)']","['27_9.3.2', '19_80)', '1_11.2.1.Guidance.2.', '7_2.2.7', '14_Part 6.Chapter 2.55.(7)', '27_9.3.1', '27_9.3.5', '11_4.15.11.Guidance.1.', '6_PART 8.20.4.6.Guidance.1', '10_2.5.5']"
604,['12_8.3.1.(1)'],"['12_8.3.1.(1)', '13_8.3.1.(1)', '12_8.1.1.Guidance.1.', '27_3.2.10', '12_2.2.4.Guidance.1.', '13_8.1.1.Guidance.1.', '12_8.1.2.(1)', '12_8.3.2', '13_8.3.3.(1)', '12_8.3.2.Guidance.2.']"
605,['19_127)'],"['19_127)', '34_69)', '19_128)', '29_4.3', '19_125)', '19_106)', '19_170)', '19_16)', '19_7)', '33_38)']"
606,['13_3.7.1'],"['13_3.7.1', '13_3.7.4.(1)', '13_3.7.1.Guidance.2.', '13_APP3.A3.2.Guidance.4.', '13_APP3.A3.2.Guidance.9.', '3_14.4.6', '13_APP3.A3.2.Guidance.1.', '3_20.15.1', '3_6.3.1.(b).Guidance.1', '19_143)']"
607,"['17_Part 8.101.(1)', '23_4.1.4']","['10_2.9.2', '10_2.9.2.Guidance', '27_9.2', '27_3.5.1', '10_2.9.1', '28_27)', '10_2.5.4', '3_9.10.1', '28_119)', '28_116)']"
608,"['19_41)', '19_42)']","['19_41)', '19_42)', '1_14.2.1', '19_40)', '21_55)', '17_Schedule 2.5.', '19_159)', '13_6.3.2.Guidance.2.', '22_9.(4)', '19_8)']"
609,['3_22.4.3'],"['3_22.4.3', '34_35)', '13_APP4.A4.1.Guidance.34.', '13_APP4.A4.1.Guidance.35.', '3_22.4.1', '12_4.6.2.Guidance.1.', '12_4.6.2.Guidance.2.', '27_3.2.19', '13_APP4.A4.1.Guidance.23.', '9_5.2.3']"
610,['19_113)'],"['19_116)', '21_31)', '19_113)', '33_114)', '19_87)', '37_4.3', '19_114)', '3_20.5.2.Guidance.1.', '19_115)', '7_3.3.33.(2).Guidance.2.']"
611,['1_6.1.3.Guidance.7.'],"['1_6.2.1.Guidance.2.', '1_6.1.3.Guidance.7.', '1_9.3.1B.Guidance.2.', '1_11.2.1.Guidance.6.', '1_11.2.1.(1)', '1_6.1.3.Guidance.6.', '1_12.3.1', '19_40)', '24_3.12', '17_Schedule 3.2.(2)']"
612,['17_Schedule 1.Part 2.Chapter 4.35.(3)'],"['17_Schedule 1.Part 2.Chapter 4.35.(3)', '12_5.4.2', '12_9.1.3', '2_6.10.2', '12_APP4.A4.12.Guidance.2.', '12_APP4.A4.10.2', '12_APP4.A4.11.2', '2_10.1.1.(1)', '12_9.5.2', '12_APP4.A4.12.2']"
613,"['13_4.15.12', '13_4.15.13']","['13_4.15.13', '9_5.4.14.Guidance.(ii)', '13_4.13.3.Guidance.8.', '13_4.15.11.(1)', '13_4.5.1.(2)', '13_APP10.A10.2.18.Guidance .3.', '13_APP4.A4.11.8.Guidance.2.', '13_4.9.5.(1)', '10_2.6.5', '13_4.15.16.Guidance']"
614,['13_APP6.A6.2.18'],"['13_APP6.A6.2.18', '13_APP6.A6.2.22', '13_APP6.A6.2.17', '13_APP6.A6.2.15.(2)', '13_APP6.A6.2.19', '13_APP6.A6.3.19.Guidance', '13_APP6.A6.2.12(2)', '13_APP6.A6.2.15.(3)', '13_APP6.A6.5.2.(1)', '13_APP6.A6.3.23']"
615,"['12_APP4.A4.11.1', '12_APP4.A4.11.4']","['12_APP4.A4.11.5', '12_APP4.A4.11.Guidance', '12_APP9.A9.4', '12_APP6.A6.11.Guidance.1.', '12_APP9.A9.4.Guidance', '12_APP4.A4.11.2', '12_APP9.A9.2.1', '12_APP4.A4.11.1', '12_APP6.A6.11.Guidance.2.', '12_APP4.A4.9.Guidance']"
616,"['17_Part 8.92.(4)', '34_98)', '34_77)', '34_11)']","['34_11)', '34_29)', '34_67)', '34_13)', '34_18)', '34_4)', '34_22)', '34_101)', '34_100)', '34_28)']"
617,['12_2.3.3'],"['12_2.3.3', '2_2.4.2', '3_5.3.3', '3_5.10.3', '40_SECTION VII.D.3.', '3_5.8', '3_14.13.6.Guidance.4.', '9_5.4.4.Guidance.(iv)', '13_4.15.11.Guidance', '12_APP2.A2.4.Guidance.2.']"
618,"['13_10.Introduction.Guidance.1.', '36_D.6.3.']","['36_D.5.5.', '36_D.4.3.', '36_D.6.2.', '36_D.5.3.', '36_D.6.', '36_D.6.3.', '36_D.5.2.', '36_D.4.', '36_C.11.', '36_D.4.1.']"
619,"['13_4.4.2.(1)', '13_4.4.2.(3)']","['13_APP4.A4.1.Guidance.21.', '13_4.15.17', '21_36)', '13_4.3.1.Guidance.3.', '13_APP5.A5.4.1', '13_4.3.2', '21_42)', '32_3.2', '13_6.2.2.Governing Body responsibilities.2.', '10_4.7.1']"
620,['19_102)'],"['19_125)', '19_7)', '17_Schedule 1.Part 2.Chapter 9.54.', '19_102)', '3_8.1.1', '3_22.10.1.Guidance.1', '7_5.2.14', '19_99)', '3_21.3.5.Guidance.2.', '17_Schedule 1.Part 2.Chapter 2.19.']"
621,['3_3.2.5'],"['11_4.3.4', '28_9)', '3_3.2.4.(a)', '3_3.2.4.(b)', '7_9.12.4.(3)', '7_9.12.4.(1)', '3_3.2.5', '13_APP6.A6.9.2.Guidance.19.', '23_1.1.1', '35_1.3']"
622,['3_16.3.2'],"['3_16.3.2', '40_7.B.1.', '3_16.2.8', '3_16.2.1', '13_APP6.A6.3.17', '11_2.3.9', '4_3.5.2', '3_23.4.1.', '40_SECTION V.C.2.', '40_SECTION VI.A.2.']"
623,['19_56)'],"['19_56)', '33_124)', '34_101)', '34_107)', '19_176)', '19_82)', '34_106)', '19_175)', '19_119)', '7_3.3.37']"
624,['12_9.4.11'],"['12_9.4.11', '12_9.4.10', '2_10.3.2.(9)', '2_10.3.2.(10)', '12_9.1.2.Guidance.2.', '6_PART 5.12.5.2.(1)', '6_PART 4.9.1.1.Application.(4)', '12_9.5.1', '12_9.4.8', '3_23.5.2']"
625,['11_9.7.4.(9)'],"['11_9.7.4.(9)', '13_APP6.A6.8.2.Guidance.2.', '11_9.7.4.(2).Guidance', '11_9.7.4.(4)', '11_2.8.3', '11_2.8.2', '11_9.7.4.(2)', '11_3.9.1A', '11_3.5.1', '13_APP6.A6.8.2']"
626,['13_APP4.A4.11.6.Guidance'],"['13_APP5.A5.3.2', '13_APP4.A4.11.6.Guidance', '9_5.4.14.Guidance.(ii)', '13_APP4.A4.1.Guidance.7.', '12_APP6.A6.8.1', '12_APP8.A8.8.1', '12_APP4.A4.8.1', '17_Part 12.Chapter 3.141.(4)', '13_4.9.21', '13_APP10.A10.4.1.Guidance.2.']"
627,['1_2.Guidance.27.'],"['1_11.1.1.Guidance.5.', '1_2.Guidance.27.', '1_11.2.1.Guidance.8.', '1_8.6.3', '1_2.Guidance.26.', '1_2.Guidance.28.', '1_3.1.1', '1_4.1.2', '1_11.1.1.Guidance.3.', '1_6.1.3.Guidance.4.']"
628,['19_82)'],"['19_82)', '19_76)', '19_47)', '33_110)', '19_92)', '19_172)', '19_29)', '19_97)', '19_124)', '19_59)']"
629,"['13_6.2.1.(2)', '13_6.2.1.(3)']","['13_APP7', '12_APP9.A9.2.2', '39_3.4', '12_APP9.A9.2.1', '10_4.7.7', '13_APP5.A5.4.1', '10_3.3.7', '21_42)', '13_6.11.5.(1)', '21_36)']"
630,['34_30)'],"['34_23)', '34_30)', '34_29)', '12_APP10.A10.1.2', '34_11)', '2_2.3.1.(1)', '6_PART 5.12.12.Guidance.4', '34_67)', '34_18)', '34_24)']"
631,['13_APP7.A7.2.1'],"['13_APP7.A7.1.1.(1)', '13_APP7.A7.2.1', '13_APP7.A7.3.4.Guidance.4.', '13_APP7', '13_6.11.2.(2)', '13_APP7.Guidance.1.', '13_APP7.A7.3.1', '13_APP6.A6.3.18.Guidance.1.', '13_6.11.2.(1)', '13_APP7.A7.3.4']"
632,['1_4.1.1.(5)'],"['13_6.4.1.Guidance.3.', '6_PART 2.4.1.9.Guidance.1', '1_4.2.1.(1)', '1_14.2.3.Guidance.3.', '11_4.15.2', '34_33)', '5_4.1.3', '6_PART 8.20.2.8', '6_PART 8.20.3.8', '30_108)']"
633,['3_10.4.2'],"['3_10.4.2', '3_10.4.1', '3_10.3.3', '33_61)', '3_10.1.2', '9_6.2.3.(b).Guidance.(ii)', '3_10.1.3', '6_PART 5.12.1.1.(3)', '11_9.6.9', '4_1.2.7.Guidance']"
634,['4_6.1.1.Guidance'],"['4_6.1.1.Guidance', '4_8.3.1', '4_1.2.7.Guidance', '4_3.11.5', '13_3.16.3', '11_7.8.3', '4_2.1', '11_2.6.3.Guidance.4.', '13_APP6.A6.9.3.Guidance.4.', '13_APP6.A6.9.1.Guidance.12.']"
635,"['1_12.3.1.Guidance', '1_14.2.1']","['27_9.2', '6_PART 8.20.2.4', '6_PART 8.20.3.4', '40_SECTION VII', '3_3.8.5', '39_2.7', '27_2.5.1', '39_1.3', '6_PART 8.20.4.3', '3_3.8.13']"
636,['11_2.8.6.Guidance'],"['11_2.8.6.Guidance', '11_2.8.6', '11_5.2.6', '28_185)', '28_25)', '28_116)', '11_APP 4.3.', '11_5.2.1.Guidance', '28_188)', '28_187)']"
637,"['25_11.', '25_4.']","['25_11.', '25_2.', '25_3.', '25_14.', '25_4.', '25_Definitions', '25_12.', '25_5.', '25_1.', '25_13.']"
638,['13_4.15.15'],"['13_4.15.17', '13_4.15.14', '13_4.15.15', '13_4.15.16', '13_4.4.2.(4)', '3_2.6.4.Guidance.4', '1_2.Guidance.27.', '3_3.8.19', '21_42)', '13_4.3.5']"
639,['33_126)'],"['33_77)', '33_126)', '33_62)', '33_76)', '33_64)', '33_69)', '33_15)', '30_135)', '33_72)', '33_81)']"
640,['3_15.9.6.Guidance.3.'],"['3_15.9.6.Guidance.3.', '3_14.11.9.Guidance.2.', '7_6.6.2', '3_15.4.2.(a)', '3_15.4.2', '3_15.4.5.Guidance.2.', '7_8.8.12.(1)', '3_6.11.2.(b)', '7_6.6.7', '7_6.6.6']"
641,['6_PART 5.12.12.4.(2)'],"['6_PART 5.12.12.4.(2)', '6_PART 5.13.3.7.(1)', '17_Part 11.Chapter 4.114.(2)', '6_PART 5.12.12.8.(1)', '6_PART 5.13.6.1', '17_Schedule 1.Part 2.Chapter 11.61.(1)', '3_5.13.1', '6_PART 5.13.3.4.(5)', '3_5.13.5', '7_5.2.2.(4)']"
642,['22_5.7.(7)'],"['22_5.7.(7)', '12_3.', '13_APP6.A6.8.2.Guidance.2.', '13_APP6.A6.8.1.(2)', '22_5.7.(5)', '11_9.7.4.(2).Guidance', '13_5.10', '13_APP6.A6.8', '13_5.10.3.(1)', '13_APP6.A6.8.5.(2)']"
643,['33_39)'],"['33_39)', '33_69)', '33_119)', '33_35)', '33_37)', '33_30)', '33_46)', '33_28)', '39_5.3', '33_55)']"
644,['3_17.8.4'],"['3_17.8.4', '3_17.8.1', '19_23)', '3_17.3.1', '19_24)', '3_17.1.1', '3_17.2.1', '3_17.7.1', '17_Part 2.Chapter 1.5A.', '19_20)']"
645,['28_172)'],"['28_172)', '28_187)', '28_175)', '28_173)', '28_184)', '28_191)', '28_149)', '28_185)', '28_190)', '28_177)']"
646,['14_Part 3.Chapter 1.9.(5)'],"['27_6.1.4', '1_11.2.1.(5)', '7_3.3.41.(3).Guidance.8.', '1_3.1.1', '14_Part 5.Chapter 1.22.(5)', '27_6.7.3', '17_Part 2.Chapter 4.15A.(2)', '14_Part 6.Chapter 4.64.(3)', '7_2.2.11', '27_4.4.3']"
647,['10_3.3.3'],"['10_2.12.1', '10_3.9.1', '11_2.1.1.Guidance.5.', '10_3.3.11', '11_6.2.7.(3)', '17_Part 12.Chapter 1.128.(4)', '17_Part 12.Chapter 3.144.(2)', '17_Part 12.Chapter 3.144.(5)', '17_Part 12.Chapter 1.128.(3)', '13_4.3.5']"
648,"['10_2.4.7', '10_2.5.1.Guidance.1.', '10_2.7.2.Guidance']","['17_Part 12.Chapter 1.126A.(1)', '17_Part 12.Chapter 1.126A.', '17_Part 12.Chapter 1.126.', '17_Part 12.Chapter 1.126A.(2)', '10_2.5.1.Guidance.1.', '9_6.2.5', '10_6.3.3.Guidance.2.', '7_3.3.2.(3).Guidance.3.', '10_2.13.3.Guidance.3.', '27_2.2.12']"
649,['19_104)'],"['19_104)', '19_28)', '19_151)', '19_22)', '19_24)', '19_29)', '19_112)', '19_17)', '19_153)', '10_4.1.5']"
650,['1_9.1.1.(1)'],"['20_2.3.', '20_1.1.', '1_9.1.1.(1)', '13_1.1.1.Guidance.3.', '1_8.4.1.Guidance.11.', '1_9.1.2.Guidance.6.', '20_2.3.(iv)', '27_3.2.18', '34_34)', '1_8.7.1.Guidance.3.']"
651,['2_6.9.3'],"['2_6.9.3', '12_7.3.6.Guidance.4.', '2_6.9.1', '2_6.9.10', '12_APP4.A4.12.Guidance.2.', '12_APP4.A4.12.1', '2_6.9.2', '2_3.1.6.(2)', '12_APP4.A4.10.3', '12_APP4.A4.12.2']"
652,['3_19.4.1'],"['3_19.4.1', '3_19.21.4.(2)', '3_19.5.1', '3_19.2.12', '3_19.21.5', '3_19.2.13', '3_19.2.14', '3_19.3.1', '3_19.14.4.(2)', '3_19.18.1.(1)']"
653,"['16_Part 2.4.(1)', '17_Part 1.Chapter 1.1.(3)']","['16_Part 2.4.(1)', '25_1.', '15_Part 2.4.(1)', '25_Definitions', '34_34)', '16_Part 2.4.(2)', '15_Part 2.4.(2)', '14_Part 6.Chapter 3.58.(3)', '16_Part 4.10.(1)', '20_3.4.']"
654,['13_APP6.A6.5.2.(1)'],"['13_APP6.A6.5.4.Guidance.2.', '13_APP6.A6.5.2.(1)', '13_APP6.A6.5.2.(2)', '13_APP6.A6.6.2.(2)', '13_APP6.A6.5.6', '13_APP7.Guidance.1.', '13_APP6.A6.2.3.Guidance', '13_APP6.A6.6.2.(1)', '13_APP6.A6.6.4', '13_APP4.A4.12.3']"
655,['6_PART 5.12.3.10.(1)'],"['6_PART 5.12.3.10.(1)', '6_PART 5.12.3.7.Guidance.1', '6_PART 5.12.12.5.(4)', '18_3.4.(c)', '3_3.8.9', '3_3.8.17', '39_4.6', '3_3.8.1.Guidance.1', '3_3.8.1', '3_3.8.1.Guidance.2']"
656,['1_8.3.1.(1)'],"['1_8.3.1.(1)', '1_8.3.6.Guidance on verification of the identity of Beneficial Owners.2.', '1_8.3.1.(2)', '1_8.3.1.(3)', '13_APP2.A2.1.2.Guidance', '1_8.4.1.Guidance.5.', '12_APP10.A10.1.2', '2_2.3.1.(1)', '1_9.1.2.Guidance.2.', '1_8.4.1']"
657,['19_166).c)'],"['19_166).c)', '19_166).b)', '19_166).a)', '19_166).d)', '19_166).e)', '19_165)', '19_145)', '19_150)', '33_103)', '19_129)']"
658,['11_12.6.2'],"['11_12.15.3', '11_12.6.2', '31_46)', '31_28)', '31_49)', '31_78)', '31_30)', '31_54)', '11_12.2.1', '31_58)']"
659,['25_12.'],"['25_12.', '25_2.', '25_13.', '25_Definitions', '25_9.', '11_9.2.10.Guidance.1.', '25_4.', '25_3.', '25_10.', '25_14.']"
660,['19_66)'],"['19_66)', '21_50)', '19_65)', '21_60)', '3_19.23.1.(2)', '3_20.14.1.(2)', '13_APP4.A4.1.Guidance.40.', '19_57)', '19_48)', '13_APP4.A4.1.Guidance.39.']"
661,"['1_2.Guidance.27.', '1_11.1.1.Guidance.6.']","['11_APP 4.47.', '1_14.2.1', '1_13.1.1', '27_11.1.3', '13_APP6.A6.9.1.Guidance.15.', '1_4.1.1.(1)', '13_APP6.A6.9.1.Guidance.17.', '1_14.2.3.Guidance.9.', '11_7.2.8', '1_12.4.1']"
662,"['19_60)', '19_63)']","['37_4.5.d.', '19_57)', '19_61)', '19_63)', '19_66)', '19_58)', '19_65)', '19_59)', '39_5.4', '19_64)']"
663,['30_125)'],"['30_125)', '31_85)', '11_2.3.16.(4)', '30_129)', '11_2.3.15.(4)', '11_10.1.3B.(1).Guidance.1.', '31_84)', '30_128)', '30_124)', '28_69)']"
664,"['12_APP4.A4.12.5', '12_APP9.A9.2.2']","['12_APP9.A9.2.2', '2_6.2.1', '12_5.2.1', '2_6.9.5', '12_5.4.4', '12_5.6.3', '2_6.10.4', '2_6.11.3', '12_2.3.4', '2_6.10.5']"
665,['1_8.8.1.(1)'],"['1_7.Guidance.3.', '1_4.5.1.Guidance', '1_8.8.1.(2)', '1_7.Guidance.1.', '1_8.1.1.Guidance.1.', '1_14.4.1.Guidance.2.', '1_9.1.2.Guidance.3.', '1_8.3.6.Guidance on FATF Jurisdictions Under Increased Monitoring / Subject to a Call for Action.1.', '1_8.1.2.Guidance.1.', '1_8.7.1.Guidance.3.']"
666,"['36_D.2.3.', '36_D.3.1.']","['36_D.3.1.', '36_C.16.', '36_D.3.5.', '36_D.1.1.', '36_D.1.3.', '36_D.3.', '36_D.3.2.', '36_D.3.4.', '36_D.4.', '36_D.3.3.']"
667,['12_APP2.A2.14.Guidance.4.'],"['12_APP2.A2.14.Guidance.4.', '12_APP2.A2.14.Guidance.5.', '12_5.4.2', '2_6.10.2', '2_6.9.1', '12_10.1.5', '12_5.4.4', '12_APP9.A9.2.2', '2_6.10.4', '12_APP4.A4.12.Guidance.3.']"
668,['34_75)'],"['34_75)', '3_8.4.3', '3_8.4.5', '33_64)', '34_77)', '3_8.6.8', '34_71)', '3_8.4.1', '34_79)', '3_8.6.4']"
669,"['27_2.5.11', '19_42)']","['19_3)', '24_3.2', '34_2)', '37_2.6', '34_11)', '13_7.4.1.Guidance.2.', '33_14)', '37_3.1', '12_2.3.1', '2_2.4.2']"
